date,precipitation,sub,event,pre_impact,impact
2018/10/4,22,-76.43240356,0,0,0
2018/10/5,10.5,-43.34288025,0,0,0
2018/10/6,23,113.681427,éOòAãx,1,3
2018/10/7,0,59.56640625,éOòAãx,1,3
2018/10/8,0,-56.70822144,éOòAãx,0.5,0.5
2018/10/9,0,-94.39733887,0,0,0
2018/10/10,0.5,5.081298828,0,0,0
2018/10/11,0,-90.40596008,âJ,-0.5,-2
2018/10/12,0,-37.32048035,0,0,0
2018/10/13,1,101.3279419,0,0,0
2018/10/14,5,27.25973511,0,0,0
2018/10/15,6.5,47.89190674,0,0,0
2018/10/16,1.5,15.46228027,0,0,0
2018/10/17,0,12.38127136,0,0,0
2018/10/18,0,18.88702393,0,0,0
2018/10/19,1,-100.9891968,0,0,0
2018/10/20,0,108.3557434,0,0,0
2018/10/21,0,16.25958252,0,0,0
2018/10/22,0,49.33456421,0,0,0
2018/10/23,0.5,38.97227478,0,0,0
2018/10/24,1,-8.549911499,0,0,0
2018/10/25,0,-0.685974121,0,0,0
2018/10/26,1,-41.42489624,0,0,0
2018/10/27,0.5,50.41717529,0,0,0
2018/10/28,0,-33.71408081,0,0,0
2018/10/29,0,-17.443573,0,0,0
2018/10/30,0,-26.79414368,0,0,0
2018/10/31,0,-57.12139893,0,0,0
2018/11/1,0,37.3082428,0,0,0
2018/11/2,0,-26.96191406,0,0,0
2018/11/3,0,141.7593079,0,0,0
2018/11/4,10,-59.17016602,0,0,0
2018/11/5,4,-28.86590576,0,0,0
2018/11/6,48,-18.70652771,0,0,0
2018/11/7,0,3.101119995,0,0,0
2018/11/8,0,12.07704163,0,0,0
2018/11/9,14,-51.89326477,âJ,-0.5,-2
2018/11/10,0,150.2672424,0,0,0
2018/11/11,0,50.55459595,0,0,0
2018/11/12,0,26.89825439,0,0,0
2018/11/13,0.5,41.5443573,0,0,0
2018/11/14,0,66.99913025,0,0,0
2018/11/15,0,-39.8939209,0,0,0
2018/11/16,0,3.675689697,0,0,0
2018/11/17,0,125.0167847,0,0,0
2018/11/18,0,-5.718200684,0,0,0
2018/11/19,1.5,-21.48937988,0,0,0
2018/11/20,0,34.33146667,0,0,0
2018/11/21,0,29.87915039,0,0,0
2018/11/22,1,65.24510193,0,0,0
2018/11/23,0,52.55331421,éOòAãx,1,3
2018/11/24,0,-62.38696289,éOòAãx,1,3
2018/11/25,0,-204.5137329,éOòAãx,0.5,0.5
2018/11/26,0,-42.59350586,0,0,0
2018/11/27,0,49.51000977,0,0,0
2018/11/28,3.5,-69.91220093,0,0,0
2018/11/29,0,-65.51727295,0,0,0
2018/11/30,0,-21.48498535,0,0,0
2018/12/1,0,98.35479736,0,0,0
2018/12/2,0,-45.88790894,0,0,0
2018/12/3,2,-17.81010437,0,0,0
2018/12/4,2.5,20.22070313,0,0,0
2018/12/5,0.5,50.98629761,0,0,0
2018/12/6,1,-44.55319214,0,0,0
2018/12/7,0,10.77659607,0,0,0
2018/12/8,0,107.2332153,0,0,0
2018/12/9,0,3.224639893,0,0,0
2018/12/10,0,-0.705215454,0,0,0
2018/12/11,3,-2.49256897,0,0,0
2018/12/12,14,72.2301178,0,0,0
2018/12/13,0,-13.58776855,0,0,0
2018/12/14,0,-74.83174133,0,0,0
2018/12/15,0,122.1949158,0,0,0
2018/12/16,3,12.49307251,0,0,0
2018/12/17,11.5,62.10641479,0,0,0
2018/12/18,0,17.06369019,0,0,0
2018/12/19,0,7.292480469,0,0,0
2018/12/20,0,-9.684204102,0,0,0
2018/12/21,1.5,-114.3707581,0,0,0
2018/12/22,26,132.0219727,0,0,0
2018/12/23,0,100.3702698,0,0,0
2018/12/24,0,8.43927002,0,0,0
2018/12/25,0,-51.43069458,ÉNÉäÉXÉ}ÉX,0,0
2018/12/26,0,72.27108765,0,0,0
2018/12/27,0,-64.25363159,0,0,0
2018/12/28,0,17.12808228,0,0,0
2018/12/29,0,7.038116455,0,0,0
2018/12/30,0,120.7857666,0,0,0
2018/12/31,0,-117.9609985,ëÂäAì˙,0,0
2019/1/1,0,273.3363647,å≥ì˙,1,3
2019/1/2,0,132.7338257,0,0,0
2019/1/3,0,86.80755615,0,0,0
2019/1/4,0,59.65625,0,0,0
2019/1/5,0,-94.77038574,0,0,0
2019/1/6,0,-145.0639038,0,0,0
2019/1/7,0,-117.2679443,0,0,0
